idiom,submission,category,rating,likes,dislikes,reports,idiom_indices,idiom_words,lemmas,words
Acchiappare farfalle,"A Clelia piace passeggiare per i campi ed acchiappare quante più farfalle possibile con il suo retino, per poi lasciarle libere",nonidiom,0.5,1,1,0,"[8, 11]","['acchiappare', 'farfalle']","['a', 'Clelia', 'piacere', 'passeggiare', 'per', 'il', 'campo', 'ed', 'acchiappare', 'quanto', 'più', 'farfalla', 'possibile', 'con', 'il', 'suo', 'retino', ',', 'per', 'poi', 'lasciare', 'libero']","['A', 'Clelia', 'piace', 'passeggiare', 'per', 'i', 'campi', 'ed', 'acchiappare', 'quante', 'più', 'farfalle', 'possibile', 'con', 'il', 'suo', 'retino', ',', 'per', 'poi', 'lasciarle', 'libere']"
Acchiappare farfalle,A Nabokov piaceva acchiappare e collezionare farfalle!,nonidiom,0.6666666666666666,2,1,0,"[3, 6]","['acchiappare', 'farfalle']","['a', 'Nabokov', 'piacere', 'acchiappare', 'e', 'collezionare', 'farfalla', '!']","['A', 'Nabokov', 'piaceva', 'acchiappare', 'e', 'collezionare', 'farfalle', '!']"
Acchiappare farfalle,A me sembra si stare acchiappando solo farfalle seguendo i tuoi consigli,idiom,1.0,1,0,0,"[5, 7]","['acchiappando', 'farfalle']","['a', 'me', 'sembrare', 'si', 'stare', 'acchiappare', 'solo', 'farfalla', 'seguire', 'il', 'tuo', 'consiglio']","['A', 'me', 'sembra', 'si', 'stare', 'acchiappando', 'solo', 'farfalle', 'seguendo', 'i', 'tuoi', 'consigli']"
Acchiappare farfalle,"Al posto di acchiappare farfalle, pensa a studiare!",idiom,0.5,1,1,0,"[3, 4]","['acchiappare', 'farfalle']","['al', 'posto', 'di', 'acchiappare', 'farfalla', ',', 'pensare', 'a', 'studiare', '!']","['Al', 'posto', 'di', 'acchiappare', 'farfalle', ',', 'pensa', 'a', 'studiare', '!']"
Acchiappare farfalle,Basta acchiappare le farfalle,idiom,1.0,3,0,0,"[1, 3]","['acchiappare', 'farfalle']","['bastare', 'acchiappare', 'la', 'farfalla']","['Basta', 'acchiappare', 'le', 'farfalle']"
Acchiappare farfalle,Chi vuole giocare ad acchiappare farfalle?,nonidiom,1.0,1,0,0,"[4, 5]","['acchiappare', 'farfalle']","['chi', 'volere', 'giocare', 'ad', 'acchiappare', 'farfalla', '?']","['Chi', 'vuole', 'giocare', 'ad', 'acchiappare', 'farfalle', '?']"
Acchiappare farfalle,Chiedere a Dodiom di mostrare la classifica è come acchiappare farfalle,idiom,1.0,1,0,0,"[9, 10]","['acchiappare', 'farfalle']","['chiedere', 'a', 'Dodiom', 'di', 'mostrare', 'la', 'classifica', 'essere', 'come', 'acchiappare', 'farfalla']","['Chiedere', 'a', 'Dodiom', 'di', 'mostrare', 'la', 'classifica', 'è', 'come', 'acchiappare', 'farfalle']"
Acchiappare farfalle,Daniel ha acchiappato solo farfalle ostinandosi a portare il suo cane dal comportamentalista sperando che diventasse meno aggressivo,idiom,1.0,1,0,0,"[2, 4]","['acchiappato', 'farfalle']","['Daniel', 'avere', 'acchiappare', 'solo', 'farfalla', 'ostinarsi', 'a', 'portare', 'il', 'suo', 'cane', 'dal', 'comportamentalista', 'sperare', 'che', 'diventare', 'meno', 'aggressivo']","['Daniel', 'ha', 'acchiappato', 'solo', 'farfalle', 'ostinandosi', 'a', 'portare', 'il', 'suo', 'cane', 'dal', 'comportamentalista', 'sperando', 'che', 'diventasse', 'meno', 'aggressivo']"
Acchiappare farfalle,"Di pomeriggio dovresti studiare,piuttosto che acchiappare farfalle!",idiom,0.5,1,1,0,"[7, 8]","['acchiappare', 'farfalle']","['di', 'pomeriggio', 'dovere', 'studiare', ',', 'piuttosto', 'che', 'acchiappare', 'farfalla', '!']","['Di', 'pomeriggio', 'dovresti', 'studiare', ',', 'piuttosto', 'che', 'acchiappare', 'farfalle', '!']"
Acchiappare farfalle,Dodiom suggerisce espressioni sconosciute come acchiappare farfalle,nonidiom,0.3333333333333333,1,2,0,"[5, 6]","['acchiappare', 'farfalle']","['Dodiom', 'suggerire', 'espressione', 'sconoscere', 'come', 'acchiappare', 'farfalla']","['Dodiom', 'suggerisce', 'espressioni', 'sconosciute', 'come', 'acchiappare', 'farfalle']"
Acchiappare farfalle,Hai passato una vita ad acchiappare con tuo marito farfalle,idiom,0.5,1,1,0,"[5, 9]","['acchiappare', 'farfalle']","['avere', 'passare', 'una', 'vita', 'ad', 'acchiappare', 'con', 'tuo', 'marito', 'farfalla']","['Hai', 'passato', 'una', 'vita', 'ad', 'acchiappare', 'con', 'tuo', 'marito', 'farfalle']"
Acchiappare farfalle,Il cane tenta di acchiappare la farfalla che svolazza,nonidiom,1.0,1,0,0,"[4, 6]","['acchiappare', 'farfalla']","['il', 'cane', 'tentare', 'di', 'acchiappare', 'la', 'farfalla', 'che', 'svolazzare']","['Il', 'cane', 'tenta', 'di', 'acchiappare', 'la', 'farfalla', 'che', 'svolazza']"
Acchiappare farfalle,In estate vado in campagna per acchiappare le farfalle,nonidiom,0.5,1,1,0,"[6, 8]","['acchiappare', 'farfalle']","['in', 'estate', 'andare', 'in', 'campagna', 'per', 'acchiappare', 'la', 'farfalla']","['In', 'estate', 'vado', 'in', 'campagna', 'per', 'acchiappare', 'le', 'farfalle']"
Acchiappare farfalle,La difesa della  nostra squadra si perde ad acchiappare farfalle.,idiom,0.0,0,0,0,"[8, 9]","['acchiappare', 'farfalle']","['la', 'difesa', 'della', 'nostro', 'squadra', 'si', 'perdere', 'ad', 'acchiappare', 'farfalla', '.']","['La', 'difesa', 'della', 'nostra', 'squadra', 'si', 'perde', 'ad', 'acchiappare', 'farfalle', '.']"
Acchiappare farfalle,La mia nonna era una persona che amava ammirare le lucciole d'estate e insegnarci ad acchiappare farfalle per poi liberarle trasmettendoci il valore della libertà e dell'indipendenza,nonidiom,0.5,1,1,0,"[16, 17]","['acchiappare', 'farfalle']","['la', 'mio', 'nonna', 'essere', 'una', 'persona', 'che', 'amare', 'ammirare', 'la', 'lucciola', 'da', 'estate', 'e', 'insegnarci', 'ad', 'acchiappare', 'farfalla', 'per', 'poi', 'liberare', 'trasmettere', 'il', 'valore', 'della', 'libertà', 'e', ""dell'"", 'indipendenza']","['La', 'mia', 'nonna', 'era', 'una', 'persona', 'che', 'amava', 'ammirare', 'le', 'lucciole', ""d'"", 'estate', 'e', 'insegnarci', 'ad', 'acchiappare', 'farfalle', 'per', 'poi', 'liberarle', 'trasmettendoci', 'il', 'valore', 'della', 'libertà', 'e', ""dell'"", 'indipendenza']"
Acchiappare farfalle,Luigi ha acchiappato farfalle tutto il giorno,idiom,0.0,0,0,0,"[2, 3]","['acchiappato', 'farfalle']","['Luigi', 'avere', 'acchiappare', 'farfalla', 'tutto', 'il', 'giorno']","['Luigi', 'ha', 'acchiappato', 'farfalle', 'tutto', 'il', 'giorno']"
