idiom,submission,category,rating,likes,dislikes,reports,idiom_indices,idiom_words,lemmas,words
adım atmak,5 adım attıktan sonra sağa dön ve 20 adım daha at.,nonidiom,0.75,3,0,1,"[1, 2]","['adım', 'attıktan']","['5', 'adım', 'atmak', 'sonra', 'sağmak', 'dönmek', 've', '20', 'adım', 'daha', 'atmak', '.']","['5', 'adım', 'attıktan', 'sonra', 'sağa', 'dön', 've', '20', 'adım', 'daha', 'at', '.']"
adım atmak,Adım atacak yer yoktu.,nonidiom,1.0,3,0,0,"[0, 1]","['Adım', 'atacak']","['adım', 'atmak', 'yermek', 'yok', '.']","['Adım', 'atacak', 'yer', 'yoktu', '.']"
adım atmak,"Adım atamadım, öyle çok kalabalıktı.",nonidiom,1.0,3,0,0,"[0, 1]","['Adım', 'atamadım']","['adım', 'atmak', ',', 'öyle', 'çok', 'kalabalık', '.']","['Adım', 'atamadım', ',', 'öyle', 'çok', 'kalabalıktı', '.']"
adım atmak,Adım atarken ayakkabısının bağına basan adam yere düşmekten son anda kurtuldu.,nonidiom,0.0,0,0,0,"[0, 1]","['Adım', 'atarken']","['adım', 'atmak', 'ayakkabı', 'bağın', 'basmak', 'ada', 'yermek', 'düşmek', 'son', 'ant', 'kurtulmak', '.']","['Adım', 'atarken', 'ayakkabısının', 'bağına', 'basan', 'adam', 'yere', 'düşmekten', 'son', 'anda', 'kurtuldu', '.']"
adım atmak,Adım attığı bu hayatın başına ne gibi olaylar getireceğinden habersizdi.,idiom,0.75,3,0,1,"[0, 1]","['Adım', 'attığı']","['adım', 'atmak', 'bu', 'hayat', 'baş', 'ne', 'gibi', 'olay', 'getirmek', 'haber', '.']","['Adım', 'attığı', 'bu', 'hayatın', 'başına', 'ne', 'gibi', 'olaylar', 'getireceğinden', 'habersizdi', '.']"
adım atmak,Adımın altına imzamı attım.,nonidiom,1.0,4,0,0,"[0, 3]","['Adımın', 'attım']","['adım', 'alt', 'imza', 'atmak', '.']","['Adımın', 'altına', 'imzamı', 'attım', '.']"
adım atmak,Adımını atarken dikkat et.,nonidiom,0.75,3,0,1,"[0, 1]","['Adımını', 'atarken']","['adım', 'atmak', 'dikkat', 'etmek', '.']","['Adımını', 'atarken', 'dikkat', 'et', '.']"
adım atmak,Adımını atarken dikkat etmeyen çocuk taşa takılıp boylu boyunca yere uzandı.,nonidiom,0.75,3,0,1,"[0, 1]","['Adımını', 'atarken']","['adım', 'atmak', 'dikkat', 'etmek', 'çocuk', 'taşmak', 'takılmak', 'boy', 'boy', 'yermek', 'uzamak', '.']","['Adımını', 'atarken', 'dikkat', 'etmeyen', 'çocuk', 'taşa', 'takılıp', 'boylu', 'boyunca', 'yere', 'uzandı', '.']"
adım atmak,Adımını attığı an asansörün kapısı kapandı.,nonidiom,0.75,3,0,1,"[0, 1]","['Adımını', 'attığı']","['adım', 'atmak', 'an', 'asansör', 'kapı', 'kapanmak', '.']","['Adımını', 'attığı', 'an', 'asansörün', 'kapısı', 'kapandı', '.']"
adım atmak,Asansöre adım atarken kabini kontrol ediyorum,nonidiom,0.75,3,0,1,"[1, 2]","['adım', 'atarken']","['asansör', 'adım', 'atmak', 'kabin', 'kontrol', 'etmek']","['Asansöre', 'adım', 'atarken', 'kabini', 'kontrol', 'ediyorum']"
adım atmak,Atmadan önce adımını iki kere düşün.,idiom,0.6666666666666666,2,0,1,"[2, 0]","['adımını', 'Atmadan']","['atmak', 'önce', 'adım', 'iki', 'kere', 'düş', '.']","['Atmadan', 'önce', 'adımını', 'iki', 'kere', 'düşün', '.']"
adım atmak,Attığın her adımın arkasında durmak zorundasın.,idiom,0.75,3,0,1,"[2, 0]","['adımın', 'Attığın']","['atmak', 'her', 'adım', 'Arkas', 'durmak', 'zor', '.']","['Attığın', 'her', 'adımın', 'arkasında', 'durmak', 'zorundasın', '.']"
