Token name,English,Italian,Turkish
TODAYS_MWE,Today's Idiom,Modo di dire del giorno,Günün Deyimi
SUBMIT,Submit,Suggerisci,Örnek gönder
REVIEW,Review,Valuta,Örnekleri oyla
CHANGE_LANGUAGE,Change language,Cambia lingua,Dili değiştir
SHOW_SCOREBOARD,Show Scoreboard,Mostra la classifica,Sıralamaları göster
LANGUAGE_ENGLISH,English (EN) 🇬🇧,Inglese (EN) 🇬🇧,English (EN) 🇬🇧
LANGUAGE_TURKISH,Türkçe (TR) 🇹🇷,Turco (TR) 🇹🇷,Türkçe (TR) 🇹🇷
LANGUAGE_ITALIAN,Italian (IT) 🇮🇹,Italiano (IT) 🇮🇹,İtalyanca (IT) 🇮🇹
TODAYS_MWE_REPLY_TEXT,"Today's idiom is '<b><u>%s</u></b>', meaning: <i>%s</i>","Il modo di dire di oggi è  '<b><u>%s</u></b>', che significa: <i>%s</i>","Günün deyimi '<b><u>%s</u></b>', anlamı da: <i>%s</i>"
SELECT_LANGUAGE,Please select a language,Seleziona la lingua,Lütfen bir dil seçin.
LANGUAGE_CHANGE_SUCCESSFUL,Language set to *English*.,La lingua è *italiano*.,Dil *Türkçe* olarak ayarlandı.
PLEASE_SELECT_VALID_LANGUAGE,Please select a valid language,Seleziona una lingua valida,Lütfen geçerli bir dil seçin.
WELCOME_MESSAGE,"Welcome to Dodiom, *%s*","Benvenuti in Dodiom, *%s*","Dodiom'a hoşgeldiniz, *%s*"
PLEASE_ENTER_EXAMPLE,Please enter an example sentence containing the words '<b><u>%s</u></b>'.,Inserisci una frase di esempio che contiene le parole <b><u>%s</u></b>'.,Lütfen '%s' sözcüklerini  içeren örnek bir cümle girin.
ENTER_VALID_MWE_CATEGORY,Please select a valid category,Seleziona una categoria valida,Lütfen geçerli bir kategori seçin
THANKS_FOR_SUBMISSION,%s! Thank you for your submission! You'll earn %d points every time someone likes your example.,"%s! Grazie per il tuo suggerimento, guadagnerai %d punti ogni volta che a qualcuno piace il tuo esempio.","%s! Gönderiniz için teşekkürler, başka bir oyuncu gönderinizi her beğendiğinde %d puan kazanacaksınız."
AGREE_NICE_EXAMPLE,👍 I agree. Nice example,"👍 Bell'esempio, mi piace.",👍 Katılıyorum. Doğru tespit.
DO_NOT_LIKE_EXAMPLE,👎 I do not like this example,👎 Questo esempio non mi piace,👎 Bu örneği beğenmedim.
SKIP_THIS_ONE,⏭ Skip this one,⏭ Salta questo esempio,⏭ Bu örneği geç
QUIT_REVIEWING,😱 Quit reviewing,😱 Abbandona la valutazione,😱 İncelemeyi bitir
SOMEONE_LOVED_YOUR_EXAMPLE,%s! A fellow player liked your example! Check your new place on the scoreboard.,%s! I tuoi esempi piacciono. Controlla il tuo punteggio sulla classifica,%s! Örneklerin şu anda beğeni alıyor. Sıralamalardaki yeni yerini merak etmiyor musun?
PLEASE_ENTER_VALID_REVIEW,Please enter a valid review,Inserisci una valutazione valida,Lütfen geçerli bir inceleme seçin
TOP_FIVE_USERS,Here are today's top 5 players:\n,Ecco i 5 giocatori top di oggi:\n,İşte bugünün ilk beşi:\n
NO_SUBMISSIONS,That's all the examples we have for you to review right now.,Non ci sono altri esempi da valutare.,Şu anda oylayabileceğin başka örnek yok.
ENTER_VALID_COMMAND,Please enter a valid command,Inserisci un comando valido,Lütfen geçerli bir komut girin.
SUBMISSION_DOES_NOT_CONTAIN_MWE,"It looks like your submission does not contain the words (*%s*), please enter again.","Sembra che il tuo suggerimento non contenga le parole (*%s*), inserisci un nuovo esempio.","Öyle görünüyor ki girdiğin örnekte (*%s*) sözcükleri bulunmamakta, lütfen tekrar gir."
CANCEL,Cancel,Cancella,İptal
REVIEW_CANCELLED,Thank you for your reviews.,Grazie per le tue valutazioni,İncelemeleriniz için teşekkürler.
HELP,Help,Aiuto,Yardım
HELP_MESSAGE,"Hello 😊

Dodo is trying to learn English, but has a hard time learning English idioms. Could you help him? We ask you to give Dodo plenty of examples, to understand how people use idioms in their daily speech.

Dodo needs lots of  idiom and non-idiom examples.
For example, to learn the idiom ""give up""\nhe needs an idiom example such as ""Ok, I give up now."" \nand a non-idiom example such as ""Can you give that book up to me?""","Ciao 😊
Dodo sta imparando l'italiano, ma è difficile imparare i modi di dire. Lo puoi aiutare? Ti chiediamo di fornire a Dodo molti esempi per capire come vengono usati i modi di dire. 

A Dodo servono molti esempi di modi di dire italiani e di frasi in cui le stesse espressioni non sono usate come modi di dire ma nei loro significati letterali. Per esempio per imparare l'espressione  ""prendere\n all'amo"" ha bisogno di un esempio idiomatico come ""Sa \n come prendere all'amo il suo capo"" e un esempio non idiomatico come ""Ha preso\n all'amo una bella trota.""","Merhaba 😊 

Dodo Türkçe öğrenmeye çalışıyor ancak Türkçe deyimleri öğrenmekte çok zorlanıyor. 
Ona yardım eder misin? Senden ricamız Dodo’ya deyimlerin nasıl kullanıldığını anlaması için ona bol bol örnek vermen. 

Dodo’nun deyim olan ve olmayan pek çok örneğe ihtiyacı var.
Mesela “ayvayı yemek” deyimini öğrenmesi için 
“İşte şimdi ayvayı yedik.” deyim örneği ve
“Az önce iki ayva yedim.” deyim olmayan örneği olabilir.

Hadi hemen Dodo’ya yardıma başla."
DOES_WORDS_FORM_SPECIAL_MEANING,Are the words <b><u>%s</u></b> used together as an idiom in this example?,"In questo esempio, le parole <b><u>%s</u></b> sono usate insieme in un modo di dire?",<b><u>%s</u></b> sözcükleri bu örnekte birlikte deyim olarak kullanılıyor mu?
FORMS_SPECIAL_MEANING,"Yes, they are.","Sì, certo!",Evet
DOES_NOT_FORM_SPECIAL_MEANING,Nope,"No, per niente!",Hayır
AND,and,e ,ve
REVIEW_QUESTION_POSITIVE,"In the sentence: \n\n%s\n\nDodo was told that the words <b><u>%s</u></b> are used together as an idiom ✔️, would you agree?","In questa frase: \n\n%s\n\n hanno detto  a Dodo che le parole <b><u>%s</u></b> vengono usate insieme con un significato idiomatico ✔️, sei d'accordo?","%s\n\nCümlesinde %s sözcükleri birlikte deyim olarak kullanılıyor ✔️ denmiş, buna katılıyor musunuz?"
REVIEW_QUESTION_NEGATIVE,"In the sentence: %s\n\nIt's said that words %s are <b><u>NOT</u></b> used together as an idiom❌, would you agree?","In questa frase: %s\n\nsi dice che le  parole %s  <b><u>NON </u></b> sono usate insieme con un significato idiomatico❌, sei d'accordo?","%s\n\nCümlesinde %s sözcükleri birlikte deyim olarak <b><u>KULLANILMIYOR</u></b>❌ denmiş, buna katılıyor musunuz?"
PLEASE_ENTER_ONE_SENTENCE,Your submission contains %d sentences. Please enter just one sentence.,"La tua proposta contiene %d frasi, inserisci solo una frase.","Gönderiniz %d cümle içeriyor, lütfen sadece bir cümle girin."
FEEDBACK,Send Feedback,Manda un feedback,Geri bildirim gönder
FEEDBACK_MESSAGE,Thank you for your interest! You can send a feedback using the following link.,"Grazie per il tuo interesse, puoi inviare un feedback usando il link seguente","İlginiz için teşekkürler, geri bildirim yapmak için aşağıdaki linki kullanabilirsiniz."
